"",,,"1958-1962",,,"1963-1967",,,"1968-1972",,,"1973-1977",,,"1978-1982",,,"1983-1987",,,"1988-1992",,,"1993-1997",,,"1998-2002",,,"2003-2007",,,"2008-2012",,,"2013-2017",,
"4100.|Total area of the country (1000 ha)","4.|Algeria","World | Africa",238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",,238174.0,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","201.|Somalia","World | Africa",2.03533071E8,"E",,2.71781889E8,"E",,4.16940947E8,"E",,4.98550866E8,"E",,7.74419566E8,"E",,1.009792743E9,"E",,9.17044254E8,"E",,,"",,,"",,,"",,,"",,5.953E9,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","202.|South Africa","World | Africa",8.269697466E9,"E",,1.3382332493E10,"E",,2.0753220242E10,"E",,3.9398574287E10,"E",,8.0083518598E10,"E",,1.04E11,"E",,1.31E11,"E",,1.53E11,"E",,1.15E11,"E",,2.99E11,"E",,3.97E11,"E",,3.13E11,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","277.|South Sudan","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,1.0368813559E10,"E",,9.015221096E9,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","276.|Sudan","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,6.2688889673E10,"E",,8.4066770983E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","209.|Swaziland","World | Africa",4.5927962E7,"E",,7.475997E7,"E",,1.4674039E8,"E",,3.0406E8,"E",,5.37568142E8,"E",,5.84125997E8,"E",,1.284766234E9,"E",,1.716699913E9,"E",,1.224226095E9,"E",,3.053808159E9,"E",,4.912817418E9,"E",,4.060072444E9,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","217.|Togo","World | Africa",1.32237468E8,"E",,2.3170644E8,"E",,3.356776E8,"E",,7.77435063E8,"E",,8.21652037E8,"E",,1.249099286E9,"E",,1.69295911E9,"E",,1.498950899E9,"E",,1.474630207E9,"E",,2.523462557E9,"E",,3.866617463E9,"E",,4.002723817E9,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","222.|Tunisia","World | Africa",8.80027761E8,"E",,1.085714286E9,"E",,2.237570219E9,"E",,5.109919571E9,"E",,8.133538743E9,"E",,9.696739314E9,"E",,1.5497286296E10,"E",,2.074636043E10,"E",,2.3142294436E10,"E",,3.8908069299E10,"E",,4.5044176964E10,"E",,4.3015089723E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","226.|Uganda","World | Africa",4.49158233E8,"E",,9.67240687E8,"E",,1.490970307E9,"E",,2.936470588E9,"E",,2.1775E9,"E",,6.269521857E9,"E",,2.85745786E9,"E",,6.269333313E9,"E",,6.178563591E9,"E",,1.2292813603E10,"E",,2.3236898742E10,"E",,2.6369242278E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","215.|United Republic of Tanzania","World | Africa",,"",,,"",,,"",,,"",,,"",,,"",,4.601413264E9,"E",,7.683852497E9,"E",,1.0805599893E10,"E",,2.1501741757E10,"E",,3.908774824E10,"E",,4.4895392077E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","251.|Zambia","World | Africa",6.79279729E8,"E",,1.340639464E9,"E",,1.87241668E9,"E",,2.51529694E9,"E",,3.871117093E9,"E",,2.265250972E9,"E",,3.181921788E9,"E",,4.303281932E9,"E",,4.193845678E9,"E",,1.4056957976E10,"E",,2.5503060411E10,"E",,2.1201564248E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","181.|Zimbabwe","World | Africa",1.1176016E9,"E",,1.397002E9,"E",,2.6777294E9,"E",,4.3643821E9,"E",,8.5397007E9,"E",,6.7412151E9,"E",,6.7514722E9,"E",,8.5295716E9,"E",,6.3421164E9,"E",,5.2919501E9,"E",,1.23927155E10,"E",,1.3892940504E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","8.|Antigua and Barbuda","World | Americas",,"",,,"",,,"",,6.6144443E7,"E",,1.37951849E8,"E",,2.86474069E8,"E",,4.23762963E8,"E",,5.79851852E8,"E",,8.02529333E8,"E",,1.289254333E9,"E",,1.204713111E9,"E",,1.29728537E9,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","9.|Argentina","World | Americas",2.4450604878E10,"E",,2.4256667553E10,"E",,3.4733000536E10,"E",,5.6781000101E10,"E",,8.4307486837E10,"E",,1.11E11,"E",,2.29E11,"E",,2.93E11,"E",,9.7724513456E10,"E",,3.29E11,"E",,6.04E11,"E",,5.48E11,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","12.|Bahamas","World | Americas",2.12252822E8,"E",,3.90196086E8,"E",,5.909E8,"E",,7.13E8,"E",,1.5783E9,"E",,2.7139999E9,"E",,3.109E9,"E",,4.961119E9,"E",,6.957996E9,"E",,8.318996E9,"E",,8.23447E9,"E",,8.884441432E9,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","14.|Barbados","World | Americas",9.6949756E7,"E",,1.3710373E8,"E",,2.3338364E8,"E",,4.95116619E8,"E",,1.16392378E9,"E",,1.704370234E9,"E",,1.957E9,"E",,2.549097488E9,"E",,3.1695E9,"E",,4.546E9,"E",,4.313E9,"E",,4.451E9,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","23.|Belize","World | Americas",3.1857594E7,"E",,4.7379309E7,"E",,6.6062499E7,"E",,1.1765E8,"E",,1.7925E8,"E",,2.7655E8,"E",,5.182391E8,"E",,6.5431435E8,"E",,9.3255185E8,"E",,1.29054255E9,"E",,1.57361875E9,"E",,1.763E9,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","19.|Bolivia (Plurinational State of)","World | Americas",6.69722541E8,"E",,1.084059815E9,"E",,1.257615645E9,"E",,3.227436282E9,"E",,5.5941184E9,"E",,4.347956299E9,"E",,5.643893347E9,"E",,7.925673448E9,"E",,7.905485216E9,"E",,1.3120183157E10,"E",,2.708449754E10,"E",,3.3196819572E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","21.|Brazil","World | Americas",1.9926293839E10,"E",,3.0591834054E10,"E",,5.8539008786E10,"E",,1.76E11,"E",,2.82E11,"E",,2.94E11,"E",,4.01E11,"E",,8.83E11,"E",,5.08E11,"E",,1.4E12,"E",,2.46E12,"E",,1.77E12,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","33.|Canada","World | Americas",4.1978852041E10,"E",,6.4768831262E10,"E",,1.13E11,"E",,2.12E11,"E",,3.14E11,"E",,4.31E11,"E",,5.92E11,"E",,6.53E11,"E",,7.58E11,"E",,1.46E12,"E",,1.82E12,"E",,1.55E12,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","40.|Chile","World | Americas",5.502775895E9,"E",,6.913560997E9,"E",,1.1532517864E10,"E",,1.3359145455E10,"E",,2.4339421605E10,"E",,2.0902096532E10,"E",,4.4467946384E10,"E",,8.2808986192E10,"E",,7.0984568429E10,"E",,1.73E11,"E",,2.65E11,"E",,2.4E11,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","44.|Colombia","World | Americas",4.968598031E9,"E",,5.72720818E9,"E",,8.671371951E9,"E",,1.9470978268E10,"E",,3.8968019453E10,"E",,3.6373312083E10,"E",,4.9279585355E10,"E",,1.07E11,"E",,9.7933392356E10,"E",,2.07E11,"E",,3.7E11,"E",,2.92E11,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","48.|Costa Rica","World | Americas",4.7918122E8,"E",,6.99456619E8,"E",,1.238251653E9,"E",,3.072427122E9,"E",,2.606621246E9,"E",,5.841132962E9,"E",,8.57361105E9,"E",,1.2828975924E10,"E",,1.6844378578E10,"E",,2.6322000105E10,"E",,4.5300669857E10,"E",,5.1106697024E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","49.|Cuba","World | Americas",,"",,,"",,8.135150889E9,"E",,1.4206158658E10,"E",,2.0953510266E10,"E",,2.5213614325E10,"E",,2.2085858204E10,"E",,2.53662E10,"E",,3.35904E10,"E",,5.86035E10,"E",,7.313905E10,"E",,7.71497E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","55.|Dominica","World | Americas",1.2E7,"E",,1.55E7,"E",,2.02E7,"E",,3.637037E7,"E",,7.2051851E7,"E",,1.26348146E8,"E",,1.91759256E8,"E",,2.45781477E8,"E",,3.37695735E8,"E",,4.21481481E8,"E",,4.85185185E8,"E",,5.37777778E8,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","56.|Dominican Republic","World | Americas",8.241E8,"E",,1.0348E9,"E",,1.9873E9,"E",,4.5871002E9,"E",,7.9640003E9,"E",,5.827050857E9,"E",,1.127767688E10,"E",,1.9593916229E10,"E",,2.6571659051E10,"E",,4.4073886687E10,"E",,6.0595109805E10,"E",,6.7103263863E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","58.|Ecuador","World | Americas",9.58598195E8,"E",,2.553596092E9,"E",,3.185987235E9,"E",,1.102634659E10,"E",,1.9929853575E10,"E",,1.3945431882E10,"E",,1.8094238119E10,"E",,2.8162053027E10,"E",,2.8548945E10,"E",,5.1007777E10,"E",,8.7924544E10,"E",,1.01E11,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","60.|El Salvador","World | Americas",7.0608E8,"E",,9.762E8,"E",,1.26372E9,"E",,2.9416401E9,"E",,3.3991891E9,"E",,3.9580458E9,"E",,5.9547E9,"E",,1.11347E10,"E",,1.43067E10,"E",,2.01049E10,"E",,2.38136E10,"E",,2.58502E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","86.|Grenada","World | Americas",,"",,,"",,,"",,5.3322221E7,"E",,9.5229628E7,"E",,1.67229627E8,"E",,2.50914815E8,"E",,3.04940741E8,"E",,5.40336926E8,"E",,7.58518519E8,"E",,7.99882148E8,"E",,9.78148148E8,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","89.|Guatemala","World | Americas",1.1436E9,"E",,1.4535E9,"E",,2.1013E9,"E",,5.4805002E9,"E",,8.7169997E9,"E",,7.08439984E9,"E",,1.0440842165E10,"E",,1.7788559414E10,"E",,2.0776403844E10,"E",,3.4113107085E10,"E",,5.038846092E10,"E",,6.3794348775E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","91.|Guyana","World | Americas",1.9494951E8,"E",,2.50176464E8,"E",,2.85380965E8,"E",,4.4988E8,"E",,4.82E8,"E",,3.5459184E8,"E",,3.68281379E8,"E",,7.4913801E8,"E",,7.22460886E8,"E",,1.740334782E9,"E",,2.851154076E9,"E",,3.166029056E9,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","93.|Haiti","World | Americas",2.74520013E8,"E",,3.51260006E8,"E",,4.75339981E8,"E",,9.87799962E8,"E",,1.484999987E9,"E",,2.160600064E9,"E",,2.257121668E9,"E",,3.338897648E9,"E",,3.472191962E9,"E",,5.88532559E9,"E",,7.890216508E9,"E",,8.877465911E9,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","95.|Honduras","World | Americas",3.8775E8,"E",,5.981E8,"E",,8.0299995E8,"E",,1.66949995E9,"E",,2.90350005E9,"E",,4.15249995E9,"E",,3.419487441E9,"E",,4.663193916E9,"E",,7.776435882E9,"E",,1.2275501784E10,"E",,1.8528601901E10,"E",,2.0152043003E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","109.|Jamaica","World | Americas",7.77727657E8,"E",,1.148014336E9,"E",,1.875146615E9,"E",,3.249733202E9,"E",,3.293496326E9,"E",,3.287007228E9,"E",,3.530892749E9,"E",,7.450324787E9,"E",,9.694161516E9,"E",,1.282409499E10,"E",,1.4746420946E10,"E",,1.4005654599E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","138.|Mexico","World | Americas",1.5221053213E10,"E",,2.6556372081E10,"E",,4.5178119327E10,"E",,8.1825780564E10,"E",,1.74E11,"E",,1.4E11,"E",,3.64E11,"E",,4.81E11,"E",,7.42E11,"E",,1.04E12,"E",,1.19E12,"E",,1.14E12,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","157.|Nicaragua","World | Americas",2.69283804E8,"E",,6.57140011E8,"E",,8.78570045E8,"E",,2.226999874E9,"E",,2.454499872E9,"E",,3.851200118E9,"E",,1.7928E9,"E",,4.389965591E9,"E",,5.224213018E9,"E",,7.458103362E9,"E",,1.0438842116E10,"E",,1.2692562187E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","166.|Panama","World | Americas",5.344905E8,"E",,8.477943E8,"E",,1.3341087E9,"E",,2.1995853E9,"E",,5.0449425E9,"E",,5.9699245E9,"E",,7.0320232E9,"E",,1.06771045E10,"E",,1.29942184E10,"E",,2.0958E10,"E",,3.99547612E10,"E",,5.21322897E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","169.|Paraguay","World | Americas",,"",,4.51524125E8,"E",,6.97291728E8,"E",,1.91235334E9,"E",,5.067450002E9,"E",,3.77831638E9,"E",,7.157424031E9,"E",,9.965225497E9,"E",,6.32515176E9,"E",,1.3794910634E10,"E",,2.4611039786E10,"E",,2.7622778722E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","170.|Peru","World | Americas",3.199617471E9,"E",,6.029751897E9,"E",,8.94573642E9,"E",,1.4230997983E10,"E",,2.1216509116E10,"E",,2.0153333842E10,"E",,3.5180917546E10,"E",,5.6833961486E10,"E",,5.443663334E10,"E",,1.02E11,"E",,1.93E11,"E",,1.92E11,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","177.|Puerto Rico","World | Americas",2.0944E9,"E",,3.5327E9,"E",,6.3289E9,"E",,9.9109E9,"E",,1.67642E10,"E",,2.3878E10,"E",,3.463043E10,"E",,4.8187039E10,"E",,7.2546194E10,"E",,8.9524131617E10,"E",,1.01E11,"E",,1.03E11,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","188.|Saint Kitts and Nevis","World | Americas",1.2541635E7,"E",,1.6742339E7,"E",,2.2944849E7,"E",,4.4679999E7,"E",,8.4381406E7,"E",,1.40705627E8,"E",,2.29434519E8,"E",,3.57237682E8,"E",,4.80825603E8,"E",,6.84148704E8,"E",,7.31919889E8,"E",,9.21888852E8,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","189.|Saint Lucia","World | Americas",,"",,,"",,,"",,,"",,1.43588886E8,"E",,2.42385181E8,"E",,4.77996296E8,"E",,6.04411111E8,"E",,7.46048893E8,"E",,1.173341556E9,"E",,1.311133148E9,"E",,1.436390326E9,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","191.|Saint Vincent and the Grenadines","World | Americas",1.4524963E7,"E",,1.5835088E7,"E",,2.7585488E7,"E",,4.9353147E7,"E",,1.13759183E8,"E",,1.75580627E8,"E",,2.77954111E8,"E",,3.4777E8,"E",,4.61883444E8,"E",,6.51436074E8,"E",,6.92933741E8,"E",,7.51373263E8,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","207.|Suriname","World | Americas",1.035E8,"E",,1.9845E8,"E",,2.876E8,"E",,6.41E8,"E",,9.1515E8,"E",,9.7985E8,"E",,4.046E8,"E",,9.296075E8,"E",,1.078402128E9,"E",,2.936612022E9,"E",,4.98E9,"E",,4.877888604E9,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","220.|Trinidad and Tobago","World | Americas",6.19322802E8,"E",,7.61981451E8,"E",,1.083392307E9,"E",,3.138666542E9,"E",,8.140416343E9,"E",,4.797777905E9,"E",,5.318258824E9,"E",,5.737751332E9,"E",,9.008273721E9,"E",,2.1642304046E10,"E",,2.4580844843E10,"E",,2.7805745961E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","231.|United States of America","World | Americas",6.05E11,"E",,8.62E11,"E",,1.28E12,"E",,2.09E12,"E",,3.34E12,"E",,4.87E12,"E",,6.54E12,"E",,8.61E12,"E",,1.1E13,"E",,1.45E13,"E",,1.62E13,"E",,1.79E13,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","234.|Uruguay","World | Americas",1.710004464E9,"E",,1.59772108E9,"E",,2.189418001E9,"E",,4.114667063E9,"E",,9.178802163E9,"E",,7.36749408E9,"E",,1.2878199881E10,"E",,2.396982301E10,"E",,1.3606494599E10,"E",,2.3410572633E10,"E",,5.1265399743E10,"E",,5.3442697568E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","236.|Venezuela (Bolivarian Republic of)","World | Americas",9.873397859E9,"E",,1.0472776744E10,"E",,1.5922867181E10,"E",,4.2337056975E10,"E",,7.6693647866E10,"E",,4.5343793676E10,"E",,5.8470358476E10,"E",,8.5837385779E10,"E",,9.2889586976E10,"E",,2.3E11,"E",,3.81E11,"E",,3.71E11,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","2.|Afghanistan","World | Asia",5.46666678E8,"E",,1.673333419E9,"E",,1.595555476E9,"E",,2.953333419E9,"E",,3.47878791E9,"E",,,"",,,"",,,"",,4.128818042E9,"E",,9.843842455E9,"E",,2.0536542737E10,"E",,1.9199437989E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","1.|Armenia","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,1.272577522E9,"E",,1.639492424E9,"E",,2.376335048E9,"E",,9.2063017E9,"E",,1.0619320049E10,"E",,1.0561401185E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","52.|Azerbaijan","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,4.991350458E9,"E",,3.962710163E9,"E",,6.236024951E9,"E",,3.3050343783E10,"E",,6.8730906314E10,"E",,5.3047140347E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","13.|Bahrain","World | Asia",,"",,,"",,,"",,,"",,3.645744806E9,"E",,3.392021127E9,"E",,4.75106383E9,"E",,6.349202394E9,"E",,9.632155053E9,"E",,2.173E10,"E",,3.0756462766E10,"E",,3.2221489362E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","16.|Bangladesh","World | Asia",5.08141334E9,"E",,7.253575399E9,"E",,6.288245867E9,"E",,9.651149302E9,"E",,1.8525399202E10,"E",,2.4298032258E10,"E",,3.1708873955E10,"E",,4.8244308275E10,"E",,5.4724081491E10,"E",,7.9611888213E10,"E",,1.33E11,"E",,1.95E11,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","18.|Bhutan","World | Asia",,"",,,"",,,"",,,"",,1.48934334E8,"E",,2.53182454E8,"E",,2.5079436E8,"E",,3.659645E8,"E",,5.37050134E8,"E",,1.196091805E9,"E",,1.82369211E9,"E",,1.962221696E9,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","26.|Brunei Darussalam","World | Asia",,"",,1.39030446E8,"E",,2.70818556E8,"E",,1.732721161E9,"E",,4.264252336E9,"E",,2.754463438E9,"E",,4.183548189E9,"E",,5.197332974E9,"E",,5.843329108E9,"E",,1.2247694247E10,"E",,1.6953505122E10,"E",,1.5492035784E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","115.|Cambodia","World | Asia",6.60000009E8,"E",,9.62857134E8,"E",,5.0554946E8,"E",,5.88443894E8,"E",,,"",,8.24166656E8,"E",,1.980183168E9,"E",,3.443413389E9,"E",,4.284028138E9,"E",,8.639235842E9,"E",,1.403838345E10,"E",,1.8049954289E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","351.|China","World | Asia",4.6685178504E10,"E",,7.205702856E10,"E",,1.12E11,"E",,1.72E11,"E",,2.04E11,"E",,2.71E11,"E",,4.25E11,"E",,9.58E11,"E",,1.46E12,"E",,3.52E12,"E",,8.46E12,"E",,1.09E13,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","116.|Democratic People's Republic of Korea","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",
"4112.|Gross Domestic Product (GDP) (current US$)","73.|Georgia","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,3.690328964E9,"E",,3.510540809E9,"E",,3.395778674E9,"E",,1.017286968E10,"E",,1.5846474596E10,"E",,1.3965385802E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","100.|India","World | Asia",4.290086497E10,"E",,5.101415536E10,"E",,7.2716595884E10,"E",,1.24E11,"E",,2.04E11,"E",,2.84E11,"E",,2.93E11,"E",,4.23E11,"E",,5.24E11,"E",,1.24E12,"E",,1.82E12,"E",,2.07E12,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","101.|Indonesia","World | Asia",,"",,5.980840376E9,"E",,1.160508456E10,"E",,4.8396143466E10,"E",,9.4715163814E10,"E",,7.5929617715E10,"E",,1.39E11,"E",,2.16E11,"E",,1.96E11,"E",,4.32E11,"E",,9.18E11,"E",,8.62E11,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","102.|Iran (Islamic Republic of)","World | Asia",4.693566416E9,"E",,7.55538369E9,"E",,1.7153463263E10,"E",,8.0600119984E10,"E",,1.26E11,"E",,1.34E11,"E",,1.25E11,"E",,1.14E11,"E",,1.29E11,"E",,3.37E11,"E",,5.87E11,"E",,4.25E11,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","103.|Iraq","World | Asia",1.954634836E9,"E",,2.795295537E9,"E",,4.113848002E9,"E",,1.9838130715E10,"E",,4.2595309883E10,"E",,5.6609842393E10,"E",,1.8E11,"E",,1.0113863358E10,"E",,1.8969591211E10,"E",,8.8840050497E10,"E",,2.18E11,"E",,1.69E11,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","105.|Israel","World | Asia",2.596551757E9,"E",,3.921085398E9,"E",,7.173788441E9,"E",,1.3776267566E10,"E",,2.4572712708E10,"E",,3.5476344261E10,"E",,6.5771216421E10,"E",,1.15E11,"E",,1.21E11,"E",,1.8E11,"E",,2.6E11,"E",,2.96E11,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","110.|Japan","World | Asia",6.0723018684E10,"E",,1.24E11,"E",,3.13E11,"E",,7.09E11,"E",,1.12E12,"E",,2.49E12,"E",,3.85E12,"E",,4.32E12,"E",,3.98E12,"E",,4.36E12,"E",,5.96E12,"E",,4.12E12,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","112.|Jordan","World | Asia",,"",,6.31679747E8,"E",,7.88479685E8,"E",,2.096778602E9,"E",,4.680673604E9,"E",,6.756417469E9,"E",,5.311188436E9,"E",,7.244402962E9,"E",,9.580161861E9,"E",,1.7110609732E10,"E",,3.0937277606E10,"E",,3.7517410299E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","108.|Kazakhstan","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,2.490693956E10,"E",,2.2165932063E10,"E",,2.4636598581E10,"E",,1.05E11,"E",,2.16E11,"E",,1.84E11,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","118.|Kuwait","World | Asia",1.828179057E9,"E",,2.441598923E9,"E",,4.450537866E9,"E",,1.4137407271E10,"E",,2.1577153516E10,"E",,2.2368703379E10,"E",,1.9858555215E10,"E",,3.0354434553E10,"E",,3.8137545245E10,"E",,1.15E11,"E",,1.74E11,"E",,1.13E11,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","113.|Kyrgyzstan","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,2.3165624E9,"E",,1.767864036E9,"E",,1.605640633E9,"E",,3.802566171E9,"E",,6.605139933E9,"E",,6.571853849E9,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","120.|Lao People's Democratic Republic","World | Asia",,"",,,"",,,"",,,"",,,"",,1.087273076E9,"E",,1.127806918E9,"E",,1.747011884E9,"E",,1.758176653E9,"E",,4.222962988E9,"E",,9.359185244E9,"E",,1.2327488341E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","121.|Lebanon","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,5.545921947E9,"E",,1.5751867489E10,"E",,1.9152238806E10,"E",,2.4577114428E10,"E",,4.3205095854E10,"E",,4.7102873632E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","131.|Malaysia","World | Asia",2.001476553E9,"E",,3.188924749E9,"E",,5.04326836E9,"E",,1.3139398433E10,"E",,2.6804400616E10,"E",,3.2181696599E10,"E",,5.9167157498E10,"E",,1.0E11,"E",,1.01E11,"E",,1.94E11,"E",,3.14E11,"E",,2.96E11,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","132.|Maldives","World | Asia",,"",,,"",,,"",,,"",,4.7935844E7,"E",,1.4126898E8,"E",,2.84853359E8,"E",,5.08223602E8,"E",,9.10864148E8,"E",,1.745998938E9,"E",,2.514041557E9,"E",,3.142812004E9,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","141.|Mongolia","World | Asia",,"",,,"",,,"",,,"",,2.552401933E9,"E",,3.0206116E9,"E",,1.317611864E9,"E",,1.180934217E9,"E",,1.396555772E9,"E",,4.234999703E9,"E",,1.2292770631E10,"E",,1.1757940909E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","28.|Myanmar","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,,"",,7.4690222131E10,"E",,6.4865515159E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","149.|Nepal","World | Asia",5.74091104E8,"E",,8.4197403E8,"E",,1.024098805E9,"E",,1.3824E9,"E",,2.39542521E9,"E",,2.957252079E9,"E",,3.401211581E9,"E",,4.918691917E9,"E",,6.050875807E9,"E",,1.0325618017E10,"E",,1.8851513891E10,"E",,2.0880545907E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","299.|Occupied Palestinian Territory","World | Asia",,"",,,"",,,"",,,"",,,"",,,"",,,"",,3.7598E9,"E",,3.5558E9,"E",,5.5058E9,"E",,1.12794E10,"E",,1.26774E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","221.|Oman","World | Asia",5.6273199E7,"E",,1.07151837E8,"E",,3.66883549E8,"E",,2.741169904E9,"E",,7.554719334E9,"E",,7.811183158E9,"E",,1.2452275683E10,"E",,1.5837451235E10,"E",,2.0142782835E10,"E",,4.2085305592E10,"E",,7.6341482445E10,"E",,7.0254876463E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","165.|Pakistan","World | Asia",4.233095515E9,"E",,7.403821772E9,"E",,9.309109507E9,"E",,1.5126060229E10,"E",,3.0725972231E10,"E",,3.3351526336E10,"E",,4.8635176853E10,"E",,6.2433300338E10,"E",,7.2306820396E10,"E",,1.52E11,"E",,2.25E11,"E",,2.7E11,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","168.|Papua New Guinea","World | Asia",2.61184037E8,"E",,4.4170691E8,"E",,8.58802036E8,"E",,1.640763204E9,"E",,2.36858497E9,"E",,3.143848331E9,"E",,4.3779841E9,"E",,4.93660508E9,"E",,2.999542369E9,"E",,6.340673794E9,"E",,1.5391629871E10,"E",,1.6928680397E10,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","171.|Philippines","World | Asia",4.399815073E9,"E",,6.8090476E9,"E",,8.017418383E9,"E",,1.9648040091E10,"E",,3.71401641E10,"E",,3.3195974365E10,"E",,5.2976344929E10,"E",,8.2344260571E10,"E",,8.135760295E10,"E",,1.49E11,"E",,2.5E11,"E",,2.92E11,"E",
"4112.|Gross Domestic Product (GDP) (current US$)","179.|Qatar","World | Asia",,"",,,"",,5.10259923E8,"E",,3.617580071E9,"E",,7.596702995E9,"E",,5.446428524E9,"E",,7.646153984E9,"E",,1.1297802115E10,"E",,1.9363736264E10,"E",,7.9712087912E10,"E",,1.9E11,"E",,1.67E11,"E",
